p,d,q,P,D,Q,m,AIC
3,1,1,2,0,0,4,1803.4105316177747
1,1,2,3,0,1,4,1803.4469288639261
0,1,2,2,0,0,4,1803.4515065674607
1,1,2,1,0,3,4,1803.4534389544415
2,1,1,1,0,2,4,1803.480701726483
2,1,0,2,0,0,4,1803.5231470531671
2,1,3,3,0,3,4,1803.5738750145315
3,1,0,2,0,0,4,1803.6858939000517
2,1,1,3,0,1,4,1803.6970719321175
3,1,1,0,0,3,4,1803.708216952492
0,1,1,0,0,3,4,1803.7903556756905
2,1,1,1,0,3,4,1803.795509767663
1,1,0,0,0,3,4,1803.7976773416444
0,1,2,3,0,0,4,1803.8404667457464
1,1,1,1,0,2,4,1803.8725901148973
1,1,0,0,0,2,4,1803.8899507045176
3,1,2,3,0,3,4,1803.9011477536628
1,1,3,0,0,2,4,1803.9121417659974
0,1,1,0,0,2,4,1803.9140684664403
2,1,0,3,0,0,4,1803.9151817448733
1,1,0,2,0,1,4,1803.9167630005018
3,1,1,0,0,0,4,1803.9213915357882
0,1,1,2,0,1,4,1803.9231301263578
1,1,3,1,0,1,4,1803.979657928648
1,1,0,1,0,1,4,1804.0076092718082
1,1,1,3,0,1,4,1804.017018459086
0,1,3,1,0,0,4,1804.0296027905706
2,1,2,1,0,1,4,1804.0369362466258
0,1,1,1,0,1,4,1804.0614862078799
1,1,3,2,0,1,4,1804.0825449566346
2,1,3,0,0,1,4,1804.1174238137182
2,1,0,0,0,2,4,1804.132039681417
0,1,2,0,0,3,4,1804.156079923829
3,1,1,0,0,2,4,1804.169925030545
0,1,2,0,0,2,4,1804.1717192101391
3,1,0,0,0,2,4,1804.2126435344258
2,1,0,0,0,3,4,1804.2159353993763
0,1,3,2,0,0,4,1804.245260210752
0,1,2,1,0,1,4,1804.2623227007994
1,1,1,1,0,3,4,1804.2632893024938
3,1,0,3,0,0,4,1804.2800247720095
3,1,1,1,0,1,4,1804.284896410059
2,1,0,1,0,1,4,1804.3243927706646
3,1,2,0,0,1,4,1804.3835547067215
3,1,1,3,0,3,4,1804.4556435086174
0,1,2,2,0,1,4,1804.5573494438577
3,1,1,2,0,1,4,1804.5880362862808
2,1,3,1,0,0,4,1804.597887868917
3,1,0,0,0,3,4,1804.6369954348347
2,1,0,2,0,1,4,1804.6576121531953
2,1,2,1,0,3,4,1804.6841041946195
3,1,0,1,0,1,4,1804.7113893072692
1,1,0,1,0,3,4,1804.7489228746035
0,1,1,1,0,3,4,1804.7681747313213
0,1,3,3,0,0,4,1804.9283263966163
3,1,2,1,0,0,4,1804.9744660190236
1,1,3,1,0,2,4,1804.9881410146181
1,1,3,3,0,1,4,1805.0033164531956
1,1,3,1,0,3,4,1805.0072768018658
1,1,0,1,0,2,4,1805.0243911234875
0,1,1,1,0,2,4,1805.024405622854
3,1,0,2,0,1,4,1805.0869339146946
3,1,1,1,0,2,4,1805.0882136517157
0,1,3,0,0,2,4,1805.182129083631
1,1,1,0,0,0,4,1805.187523353664
2,1,3,3,0,0,4,1805.2170776312596
3,1,1,3,0,1,4,1805.2187271333873
0,1,3,1,0,1,4,1805.2430683332632
0,1,2,1,0,2,4,1805.2587555587093
2,1,0,1,0,2,4,1805.2654970788321
0,1,1,3,0,1,4,1805.2656593704528
1,1,0,3,0,1,4,1805.3221028063292
2,1,3,2,0,0,4,1805.322900294016
0,1,3,0,0,3,4,1805.3621761149589
3,1,1,1,0,3,4,1805.3812845551658
0,1,2,1,0,3,4,1805.5107178881824
3,1,2,2,0,0,4,1805.5789610395555
2,1,3,0,0,3,4,1805.5955891653603
2,1,0,1,0,3,4,1805.6019893532712
3,1,0,1,0,2,4,1805.6083827202028
0,1,3,2,0,1,4,1805.6665205117786
3,1,2,3,0,0,4,1805.6838659252403
2,1,0,3,0,1,4,1805.8680841973373
0,1,2,3,0,1,4,1805.908057014038
2,1,3,0,0,2,4,1806.0434789790181
3,1,2,0,0,3,4,1806.0666331219131
3,1,0,3,0,1,4,1806.145519472208
3,1,0,1,0,3,4,1806.171945584067
3,1,2,0,0,0,4,1806.207999549148
2,1,3,1,0,1,4,1806.2891996171707
0,1,3,1,0,2,4,1806.3083476375184
3,1,2,0,0,2,4,1806.3394521344212
2,1,3,2,0,1,4,1806.3827059255286
3,1,2,2,0,1,4,1806.712258155403
3,1,2,1,0,1,4,1806.7142325349719
0,1,3,1,0,3,4,1806.8131864538504
0,1,3,3,0,1,4,1806.8601264839876
2,1,3,1,0,2,4,1807.0171559737291
2,1,3,3,0,1,4,1807.3587393149344
2,1,3,1,0,3,4,1807.381160723911
3,1,2,1,0,2,4,1807.4118759939797
0,1,0,0,0,0,4,1807.4624086754216
3,1,2,3,0,1,4,1807.5934306489714
3,1,2,1,0,3,4,1807.728355479466
2,1,0,0,0,0,4,1807.7920107663545
3,1,0,0,0,0,4,1808.5071021782826
0,1,2,0,0,0,4,1808.8507050255184
1,1,0,0,0,0,4,1809.4345952191193
0,1,1,0,0,0,4,1809.4402461985253
0,1,3,0,0,0,4,1810.2129143895081
